time[sec],count, PORT[0]C[mA], PORT[0]V[mV], PORT[1]C[mA], PORT[1]V[mV], PORT[2]C[mA], PORT[2]V[mV], PORT[3]C[mA], PORT[3]V[mV], PORT[4]C[mA], PORT[4]V[mV], PORT[5]C[mA], PORT[5]V[mV], PORT[6]C[mA], PORT[6]V[mV], slope
3.105793,2.699998,-660,19484,0,128,0,112,851,9080,0,112,0,116,0,112,0.000000
3.118949,2.709998,-693,19484,0,124,0,112,850,9080,0,112,0,112,0,112,0.000000
3.129788,2.719998,-659,19488,0,128,0,112,851,9080,0,116,0,116,0,108,0.000000
3.140983,2.729998,-685,19484,0,124,0,112,851,9080,0,116,0,116,0,112,0.000000
3.155504,2.739998,-715,19476,0,124,0,108,873,9080,0,112,0,116,0,108,0.000000
3.167451,2.749998,-730,19472,0,128,0,112,871,9080,0,112,0,116,0,112,0.000000
3.178049,2.759998,-721,19472,0,128,0,112,873,9080,0,116,0,116,0,112,0.000000
3.188798,2.769998,-703,19480,0,128,0,108,872,9080,0,112,0,116,0,112,0.000000
3.200071,2.779998,-721,19476,0,128,0,112,872,9080,0,108,0,116,0,112,0.000000
3.211713,2.789998,-682,19480,0,128,0,112,872,9076,0,116,0,116,0,112,0.000000
3.223347,2.799998,-701,19472,0,128,0,108,874,9080,0,112,0,116,0,116,0.000000
3.233605,2.809998,-724,19476,0,128,0,112,873,9080,0,116,0,116,0,112,0.000000
3.244015,2.819998,-699,19480,0,124,0,112,872,9080,0,112,0,116,0,108,0.000000
3.260440,2.829998,-719,19480,0,128,0,112,871,9080,0,112,0,116,0,112,0.000000
3.270417,2.839998,-718,19480,0,124,0,108,872,9076,0,112,0,116,0,112,0.000000
3.280375,2.849998,-672,19488,0,128,0,112,873,9080,0,112,0,116,0,112,0.000000
3.291148,2.859998,-705,19480,0,128,0,112,873,9080,0,116,0,112,0,108,0.000000
3.301834,2.869998,-717,19480,0,124,0,112,873,9080,0,112,0,116,0,112,0.000000
